索引,类型,职位名称,公司名称,城市,薪资,工作经验,学历要求,URL
33,职位详情,C# 全栈开发工程师,杭州玻瑟,杭州,8-10K,1-3年,本科,https://www.zhipin.com/job_detail/faebe3c61ed9695a03F43925FVdV.html?securityId=JjQcxSTUSA9wn-N15PlkCZkyvXgqUfd4eFb1-Q8YcHuu1eJN6VtSD-QobHZbF8pEb9y3Mk5gQ3MfX4ROlIU9h8uZmgmSWEmD-ch4vuNSbKgQDJbvcXZ-42EplNRKdXhKrV4Bd6KVfpv1&ka=search-list-1yGQl9q2wIO.search.34
34,职位详情,Java全栈开发工程师(26届毕业),杭州默蓝科技,杭州,100-180元/天,nan,本科,https://www.zhipin.com/job_detail/4f2169746dbc653403Fz39y4FFtV.html?securityId=MnenoMeV2T5KM-d18X6fNw8Id1vfmDPL8ITq8Qno2a4M4D7lBYxKJeyVw7w7XYZPXHYecdm7vNWDpj3Aay8GmfvmNq3cs5Z-PADW7HpJveICuNoEo8uzIMxGgr13jQaksxdaKJBtnz6QXw~~&ka=search-list-1yGQl9q2wIO.search.35
35,职位详情,全栈开发工程师,杭州泰丽诗,杭州,10-15K·13薪,3-5年,本科,https://www.zhipin.com/job_detail/f459c9cb57785a7a03d82tq-EVdY.html?securityId=Bon9IjEMWVRV0-H1-o2LyzJcZ0gcOfZ2AZAoZoZlPREjlURDET2KsKP1Bhd_YnTjkO3rz8pFnIPPQOBjHmynZqgd2zpiuF7VnKJ6yTj1IdrK153e9SprIvgLYUEYt2_a8GeJ65HYprbRTg~~&ka=search-list-1yGQl9q2wIO.search.36
36,职位详情,技术全栈实习,天识科技,杭州,180-230元/天,nan,本科,https://www.zhipin.com/job_detail/31c85d72cae329b91X1z3du6FlBR.html?securityId=BHxTvGoYwaGtm-c1_DImEqOyJPA-s9fK4gXntsHc6pSbGtrww_cM0L8m4l1feCqWjtgEtsbSXclj7C3YDt53xqcZjo3hG_LMGSFnxEV2iGEVgIL8H8jAvUa1jPbSdqlJ7WOgDv09eqZZ&ka=search-list-1yGQl9q2wIO.search.37
37,职位详情,全栈开发工程师,杭州易和,杭州,10-15K,3-5年,本科,https://www.zhipin.com/job_detail/6eb35c9aed7e735903d70tS1E1BS.html?securityId=hcrTZL0iI3ENc-01KADrr9u2n1S6s2Rg65b1uJjAr3mdG4LWAPUrZwDuXu0tFmwXXraRBhB8TbiCo5EFpt01t7gA5ndJf-bBWvSgNqY6yxy_3H1sd5bQL3KS-rdkOiqdXcNtnV2pSA~~&ka=search-list-1yGQl9q2wIO.search.38
38,职位详情,网站全栈开发者,南方置业,杭州,20-40K,5-10年,大专,https://www.zhipin.com/job_detail/f682ddf5f8796f081nZ82NW6FlBT.html?securityId=hju9LgxTLi1gr-l1XwNGdImRIR6irIko9Od2sQA94THFKmnys6HczWY80lfoTdLz37A0NPB16zglvcmC9o5kc1rXO_AebeM6kLX024KHNz6CCw7_R32GeljpueMBKpPxXbbmJrYSHUeJog~~&ka=search-list-1yGQl9q2wIO.search.39
39,职位详情,java全栈开发工程师,舍非时科技,杭州,9-14K,3-5年,本科,https://www.zhipin.com/job_detail/f90a3b0603e694de03J-3t-_E1NR.html?securityId=BbmJigkSwgIRN-D1kjZlyJmPqxVlL8C2CFoQ50c3-nPq6OkdxTsDhChjx-jLlAmMEz1ht0ReONDp73Ncg3MJDnEnua5_qO1jvtdhlaKJ1T3FstyQ5VfkUBakSRwVo5YUbd9UARSbVj32K0GlIkM4j-vGaXyXdbuNZTqHibbs2Z-ahrfGVQ~~&ka=search-list-1yGQl9q2wIO.search.40
40,职位详情,全栈开发工程师（银行项目）,软通动力,杭州,14-17K,5-10年,本科,https://www.zhipin.com/job_detail/76ca3b12e7c0fff303J72tW1F1JX.html?securityId=ztpKBInH-Z4W5-11HSphiqE-gt5QAnZbucSfmTHpqcWQUzRglH7MuyNYqShEDHApWUpnBAmAwQ-dLxKutnUHAD9Mq5ABWYjdLxPG9I6rbMhrcclTCAtdEbBrDTczzY3HKbG9iR7vpTuQ&ka=search-list-1yGQl9q2wIO.search.41
41,职位详情,java全栈开发工程师,大连百优软件有限公司,杭州,7-12K,1-3年,本科,https://www.zhipin.com/job_detail/cb210bc1fa580d4903Vy3du4FVBQ.html?securityId=-upoHV11Ym0lr-F1b5iDE9Z-b2wDA6XIGAvNda6Z0h8f_V6roMnCkJOBeGuIzz8rdJet9BBn2G1xivDbyUQ8GuerzCBB_XT0XcOFyK-0HuqimTaQO9cQlw8JlkQ5NMGk_ASbWEH3TnWxDQ~~&ka=search-list-1yGQl9q2wIO.search.42
42,职位详情,广告前端（全栈）开发工程师-Ads Infra,字节跳动,杭州,30-60K·15薪,3-5年,学历不限,https://www.zhipin.com/job_detail/7f84745c3d0e29741HVz2ty6E1VS.html?securityId=P6TkDbxtDOuIx-x1fcFES_KcnAGV1-lRInQgxt563gKtuLKke2bTg9CBY70VV5YvqJNrUgWhnYMtFuUx75NBXOuz876XWkC0EVypBK3W4x554yHeypAjpJjf122nwFuRH1zlYuvIIBYc&ka=search-list-1yGQl9q2wIO.search.43
43,职位详情,Java全栈开发工程师,砺剑石,杭州,7-10K·13薪,1-3年,本科,https://www.zhipin.com/job_detail/67b76a103010dc2e03Z43dm7FltR.html?securityId=fmPuCpM2R3Swk-o1Wwvzjvp07z4_lEonK1vdMy3M5sZtoOx7WvnYWxEmit1jqZuNuXTiyyVQLDp1xpbeGKYQm6BM8RK62IvpI-iPn0HjGHXhI65pebBy4RpSdVCpHGT14rFiFAcCMw8VTQ~~&ka=search-list-1yGQl9q2wIO.search.44
44,职位详情,全栈开发工程师,滴滴出行,杭州,20-40K·15薪,3-5年,本科,https://www.zhipin.com/job_detail/8d71e8a0763eee400XR43Nq-EVU~.html?securityId=ZtWMsFYOj0blw-T1V_TDNzQjB7QIwY1xM2zfH3ffNpVSI9ql-OTxDyZxFjTRlRl_M5EVzVweWmtqbvE3BYu3x7cbtkFPmAk5L72CqMs27tF_JWwLI0iYXQwyRgYAsk2O4oRQ1ug~&ka=search-list-1yGQl9q2wIO.search.45
