索引,类型,职位名称,公司名称,城市,薪资,工作经验,学历要求,URL
157,职位详情,全栈开发工程师,锦绣商贸,杭州,15-25K,5-10年,本科,https://www.zhipin.com/job_detail/7a7f75ae5325dde703d63t2-FFRZ.html?securityId=8hwN5ClfikmTt-q1FPnkge684GUc72ZLAj7a9uRUPFPcwThf7Uimdp_vDDYGxQVS4EBbCYFegq-LLMdYIH6HUQW1e-gaMh2Qrb6BRKeuqr5yLyrg81qmmUK-6kEMvQPFi3YIkPOMEEC-Lw~~&ka=search-list-1yGQl9q2wIO.search.158
158,职位详情,全栈软件工程师,初心无人机,杭州,12-18K,1-3年,本科,https://www.zhipin.com/job_detail/7e2bbfcb6824d44e1HN729-_FltW.html?securityId=c8oVVSmaBs4qQ-g1ABWDKafKcafd8KCpUBiuc9ciqJs59DbYxo5WXK6ZNKWa_X6PxZwDdtQKD4pjPJIwmyblteQkGtlWiBjozyWKwSh2JnvSDs5JUvONrepCe7wQbTNgt4MiryUMxuX35Q~~&ka=search-list-1yGQl9q2wIO.search.159
159,职位详情,全栈开发工程师,冀信科技,杭州,5-8K,1-3年,本科,https://www.zhipin.com/job_detail/0e71fd5cb4c27d151XJ_3d2-E1ZU.html?securityId=FA9H9mUQGrMOA-D1ZpRQDIQFc82tVnULzftKRfZdHTsI2PdZNErvHAxVFxIcVjtC73ciHzuQFQ_aTY_lIQPp1GR8gYkes_DdeZl11teJuL10zkGBUjowUOPNXbVV7edqDLWGys4nitMqJQ~~&ka=search-list-1yGQl9q2wIO.search.160
160,职位详情,Java全栈开发,真型,杭州,10-15K,3-5年,本科,https://www.zhipin.com/job_detail/5c16a722a1794c331Xxz3Nq9GFFV.html?securityId=Ti6xvevTAe0oX-b15nZjRUbS3sVEeaY2owqEH0gWpFyxTJ0ytA42murpHBiaKmDUjCdrOnk9S3eVB30iqgibLhHZlZ4KvrMH0v18ertfBqDK94lO5ZKYKHUHsvXwK5FWMrOoXeLMI3biVg~~&ka=search-list-1yGQl9q2wIO.search.161
161,职位详情,资深全栈开发工程师,杭州壹网壹创,杭州,18-21K,5-10年,本科,https://www.zhipin.com/job_detail/d47a65fde7a892f503J_2NW7GVZQ.html?securityId=4m6u12Gy-9MdE-R15TZaD7vBM_nKQCtIRAlbboD9tULDtIvH_9G4lazFqa4PX2akxv0Bztqhgz27I8KDYxQuy2BRFwgd3z1ptbpEc4yOtWHS-hgoZ0gA0pDInIB_OXyicfFNv8ehcUQ~&ka=search-list-1yGQl9q2wIO.search.162
162,职位详情,"全栈开发(nodejs,react)",微点,杭州,15-20K,3-5年,本科,https://www.zhipin.com/job_detail/ec5726827ca9490f1H1_3Nu8E1ZV.html?securityId=4dTk3ZxK01wP0-W129jnbTvfed1N823vkg0QFEBRMzfMibUBUkX7_43WvzZRw2P4kttv1TGsBPzoj-D2k1_HC594zbYoZMGjyEyLPZIaHI4deKRpiMu-7RTIqhwR-B1bDQb1YV1ddvY~&ka=search-list-1yGQl9q2wIO.search.163
163,职位详情,java全栈开发工程师,新中大科技,杭州,11-16K,3-5年,本科,https://www.zhipin.com/job_detail/9c70e0de5b381de203J-2tm8E1JQ.html?securityId=MZo7-AgYtwXRf-A1okfe9XqtocyYlCCmSCQNHmxbj3zXQkfeHHZ2clBW5Z5b4mVIFP_HvHh0tiJIZBdAOCECQI3xy6jcaFWP5615v9Pw8Bu-ht7NIBcaob0g_HHqFnudqgMrOjxOFZvb&ka=search-list-1yGQl9q2wIO.search.164
164,职位详情,高级全栈开发工程师,斑橙科技,杭州,25-40K,3-5年,本科,https://www.zhipin.com/job_detail/7c0fea29a2db022d1HZ_0tW8FVtY.html?securityId=CUwSB9nafZ11p-W1aMm0a5JG2C3UiSwrprCUCWexSk8o2QlLiruUTNq5Jf2VAA0Yg5KGyYg-f5NiyeF6ngOjdx7pMyL0LHs8hii64UbPBdHANllN-soAPggqqUnSWlYQSXrSZqCoVQ~~&ka=search-list-1yGQl9q2wIO.search.165
165,职位详情,高级全栈工程师,元豹科技,杭州,18-19K,5-10年,本科,https://www.zhipin.com/job_detail/489afcc7e7baeb9203F53N-4FVZZ.html?securityId=yntZqr6AJkjHS-F1jeJZZDmKJyNESBfWjECW_DsvaYlBCyoKeHOvFtCbjyVnw5hWZXT80EUCnzSLdZHLYPzAT9uqT7oIKCMQcW1Uypf862wWwytWk7_-0ZTkggc987znhhMOcHD6PA~~&ka=search-list-1yGQl9q2wIO.search.166
166,职位详情,Web开发工程师（全栈）,杭州新传实业有限公司,杭州,16-24K,3-5年,本科,https://www.zhipin.com/job_detail/4708d26a4ca106271HN92tS-FlNX.html?securityId=Kxqb9Ne8ayEG3-n1ujyUuSJ42Q04nsKbjWX8Z7iLN6mLw42woShjHUZrFp7O-wW8yCEgQqg4l60oxjSIAF3Fl-BwWXUWQd4IlWvPyQ1R_faEULu8z-4S3On2QbNXn1xmzroHymg0ft0rOQ~~&ka=search-list-1yGQl9q2wIO.search.167
167,职位详情,全栈开发,杭州灵玑人工智能科技,杭州,20-30K·13薪,经验不限,本科,https://www.zhipin.com/job_detail/28f45481121534c503Z-2N65EldX.html?securityId=pA0ULnh39cZC6-V1saEXCyLZ5pQCwNf1rrV31Q-ym-H49RG3d6MndtyqTKg4uqsTzY2w8TBIMSjGzZMExI_Oz4aZPZtPaOrSjjZ0VvjkK2oMvOuv622btCr973eVYIQ4utvmfPV2rh02&ka=search-list-1yGQl9q2wIO.search.168
168,职位详情,python全栈开发工程师,杭州西湖交互机器科技,杭州,12-20K,1-3年,本科,https://www.zhipin.com/job_detail/345e5812b17590eb03F83ti-EFpR.html?securityId=VfFakNjP-A1mk-z1IXufxr8PSLICgvavfDN5cJxhq24H--9SjIf9W8xBnP0HtUmFfNQIAGf5p5E5ldwx1Mk5dr4b1ytYMNAhZHwjnT_CQNc6hyq06d9bfUGF49_POpk-vJtYLpfOT0WMfQ~~&ka=search-list-1yGQl9q2wIO.search.169
169,职位详情,全栈工程师,取新智能科技,杭州,8-13K,1-3年,本科,https://www.zhipin.com/job_detail/125888a1bfaf28e203B83ty4E1pR.html?securityId=5Q9863TYe7GqN-H1ybtOxN1SwNOzD45MkH9q20HjhHL4LfmKY2Ir_1rKkHJtpVPfWKpDZaAMb5usjsBOGpZAaArJTvSqni6K30EJtj_TU20QmEf9IZTDtE92BtIAqkNhWBbP294kaDCL&ka=search-list-1yGQl9q2wIO.search.170
170,职位详情,C#、ASP.net全栈开发工程师,检讯科技,杭州,15-20K,1-3年,本科,https://www.zhipin.com/job_detail/0a764dbbd94516341X1-2t68E1ZZ.html?securityId=FHfobEWtoZRfw-K13bShZus0rxFKJrrWBTnAiTk4uMCEK8gZp27A_f2NFe4rB329D8zUJwYrvey2ImkpwFzABlEcHR7buCZrZb2TadWvtxnjEBEU2-SWwpuzgmlwuQX53A6L8reklLhs&ka=search-list-1yGQl9q2wIO.search.171
171,职位详情,初级全栈工程师,城一数研,杭州,3-8K,在校/应届,本科,https://www.zhipin.com/job_detail/df6351231e97580403Ry09i_E1FX.html?securityId=cQtOuAJVvDgeF-S1OgM9n6w-C9cliXPZY-RZFh5_cde78ikM6-zhnEWolcMm3IbMDLYNnD2dV3PbP36X_AFFrQhQQPzJ3NSSr_W05U17S3pKZWYPSDM6iFpM3nl6RxZGNIi5TaLGLlE~&ka=search-list-1yGQl9q2wIO.search.172
172,职位详情,全栈开发工程师,浙江万企动力,杭州,15-20K·13薪,3-5年,本科,https://www.zhipin.com/job_detail/7ff9d64f1840377c1nZ52tu-E1JU.html?securityId=f5RfI3yc-zSmG-810R_SzAsXRim_M59M9U5kzVWdiCsXChkQTrtUDRwMY8HV1k3fE5STAtPqJ5y35_VSp0tMG5Ww9FdduglgB_GaCkMv5pGK10aD2g8SmVvGPW719HRJAvtRbtGnvrk~&ka=search-list-1yGQl9q2wIO.search.173
173,职位详情,全栈偏前端,微工科技,杭州,15-22K,3-5年,本科,https://www.zhipin.com/job_detail/9aeddf0e6198d3c01HJz2Ny_FFdU.html?securityId=vukKHPoyMbzmm-q1Knz11RgahHFKWhdutOggLF7Q_zEef4K6A3XNAk8IzMStx5V6Hqu-dLmKL0Dp0Uw1DK-u2LN_YydknH5d3eINUHKv75ie7HT-mAz_4ygfwzAM0oPK9aEmZd8~&ka=search-list-1yGQl9q2wIO.search.174
174,职位详情,前后端全栈开发软件工程师,珞微科技,杭州,15-30K,3-5年,本科,https://www.zhipin.com/job_detail/e203eff35f89b08803Bz2N-6FVNV.html?securityId=7QXhcmKvsclHZ-O1LoF6q_xwja4Ox1XPsa9b9N-2Zk-f94j_7TGrSCn9PTNotwGNfg_0RY26ljrXJkTv7VE1AblcaZBAJ4RwqMj-8xdo_BGRuyoEy6Y4z9G3vFeT29WFDy8qd0DwN9hwIg~~&ka=search-list-1yGQl9q2wIO.search.175
175,职位详情,中级Java全栈开发工程师,易雅通CRM,杭州,10-13K·13薪,3-5年,本科,https://www.zhipin.com/job_detail/4ed69b941176e08203F92tm0EVJW.html?securityId=cm8cB0yvgysHZ-h1L8lFraBM7tTeK7VqSZbP0-6JqgG_P8vE4OR--T_SvpZ-m3nOrw7ZhVLWPk6cE-kZcDY-HEcW64fYLhn0X2dO0BHz4VyTeti3PZCahfq0fhdCvpKUp5m4Qor1iPc~&ka=search-list-1yGQl9q2wIO.search.176
176,职位详情,昇腾AI全栈开发工程师,华为,杭州,15-30K·14薪,1年以内,本科,https://www.zhipin.com/job_detail/87385b41a39589431XV90t29EFVY.html?securityId=74yLxrxHL3WM9-t1jUwYtAaFFzGLihSnDYs1_PpogHJkB0KcKcSCl7dzrHWBN2BvkPx3CFBMJsX2mLX6X4yvp2Hbv-2CwOcHVp9sbaISHepgwXIAJbLNsaX514HR9VMdlywfvio~&ka=search-list-1yGQl9q2wIO.search.177
177,职位详情,全栈工程师,杭州智势,杭州,12-13K·13薪,1-3年,本科,https://www.zhipin.com/job_detail/4e9537567732b5541X153tm1FFRY.html?securityId=ZObmSJlE2BOBT-d14RFMNwB8rgrS8J-uwtcZnX1_Hv5nuQ6xqkI3aNlk6xXajKWo-9RFjYLPuaqAp31IPi9z0fKHDM0BfTydkRlajyGZPENehgu3fGDVBC3m8fI1doQK9cgdyiixsrQ~&ka=search-list-1yGQl9q2wIO.search.178
178,职位详情,全栈工程师,某大型银行公司,杭州,25-50K,5-10年,本科,https://www.zhipin.com/job_detail/f3a26f6e31dbf6b503J_3t66FFJQ.html?securityId=21lGjHOmCpwuJ-_1u9vSJAe3oBUutJkkMOSgQHwraf98HtO-6-BvKs7I7Hblh3A9qgS5Kohvnc5K3g4-JfJ_ovcwhx55Hg3o6M71YHxkv4mPtrMO1A3OtY7qhsC2nwTn4xf0kMaxdmxgTA~~&ka=search-list-1yGQl9q2wIO.search.179
179,职位详情,后端/全栈开发工程师（AI电商商家工具),杭州朗珏,杭州,18-28K·13薪,1-3年,本科,https://www.zhipin.com/job_detail/2fc423db0835c05403Fz29S9FFtV.html?securityId=YqbA-fpGPXLv_-V16bmNp5uG8Rnkq5h29Qb9DIv0TZwFqAl-3uyAaFMSducq78VQl_xiN19FCPOISiImBS35AdcEW6OOi91RnR4YAmNDeIKHwCXHdpCGLu3cOJdQuhV_Gu5FeMAsfNdD7XorySd3g6g3h90DLdvCo0Ch_PVqsTu0bWA~&ka=search-list-1yGQl9q2wIO.search.180
180,职位详情,全栈开发工程师,红杉云澎,杭州,8-12K,在校/应届,本科,https://www.zhipin.com/job_detail/bdfe782a3dde9d8c03V40tm4FlJS.html?securityId=SlbBRT7Pv6nkd-x1sbDhec30s0BLHN9NfBioS-u5BvZLqfhSI6DFpMshseJppsTWriyWwOvHeliBfk6VeEUML9iN7oAyAB8h6qNtJMvAgUKup-FdJhry53N5BIm1pk2PwjwwenSdj4s~&ka=search-list-1yGQl9q2wIO.search.181
181,职位详情,全栈工程师,研几私募,杭州,8-12K,在校/应届,本科,https://www.zhipin.com/job_detail/68c44bc515a4559f03F43d25E1dV.html?securityId=C8ytuFc6cdtQh-_1wfN8Ed4X_kNORXYKnfTw8xCoiTdPrPrImBfU-R8LpeGwV27ho293nUQZJZ5cj3QjptEnMA4l4ayiKdjlv-vHKtChLDTBVQTF8GvNkVEQvEOmlmcgNOXuAqPPV5FeuA~~&ka=search-list-1yGQl9q2wIO.search.182
182,职位详情,java全栈工程师,易事通,杭州,8-13K,经验不限,学历不限,https://www.zhipin.com/job_detail/b956b095cc54b7061nJ-096_FldR.html?securityId=eENO5qGVdZpiC-o1PP8hjJVClXDIS8iM1zf7NmPJo6C8--0JHMzEYaSrY-TdAoX352j6CyB8GNnOoxgLq8EXS3VDwDCaEiw_ECISHpPPw9q9fR1lzJ1T-3SqO1hS-FS8uDGV2JL_cUN_wg~~&ka=search-list-1yGQl9q2wIO.search.183
183,职位详情,高级全栈开发工程师,名遐信息科技有限公司,杭州,15-25K,5-10年,本科,https://www.zhipin.com/job_detail/97bfc152da29a83e03J53d2-EVdS.html?securityId=I9Bk7ZY4qWNwB-w1nihdq_2c3WuO1lcbQ0-RDn_yQnajbt29FyFrpRpweefS8BKGPIddh7_YdTS2zVomaf1zUrHk6KonFUnVKUlzUsOpDrk9tOFX-XAj77X6XMrZK84iSVroYjdTV6D79g~~&ka=search-list-1yGQl9q2wIO.search.184
184,职位详情,高级全栈开发工程师,凯棉科技,杭州,20-35K,5-10年,本科,https://www.zhipin.com/job_detail/eacf45f41d8226571HJ_29S6GFJR.html?securityId=hqIbL8miWf7g1-21pWBBvhWoslvJ_opVxr-5MC3r69qNI6s9gswVitmFdGhZcq72S39i7s0pLENhE_qOnkcFkl42yAxX10O07egG_fZdriswfdW1JyzQ1uFO8wYGn4dZzSzYx1awTRo~&ka=search-list-1yGQl9q2wIO.search.185
185,职位详情,全栈工程师,数爆,杭州,13-20K,1-3年,本科,https://www.zhipin.com/job_detail/967e8f5133c9010703F93dS8FlFZ.html?securityId=CV7LZbhkO6wNw-t172Qo4PbkYwIOUPBU1_01E62iejD9dGe0Jw6xrre-Oi0OtCgqgRVsDkL48f4mH8TVwEDcPS7dEGUohsEb46m_reIBkTC83rlYk9IW7RxHPJDe2AO3dehgyN7oUDV4vQ~~&ka=search-list-1yGQl9q2wIO.search.186
186,职位详情,全栈开发工程师-AI电商方向,乌鸫科技,杭州,12-24K,3-5年,本科,https://www.zhipin.com/job_detail/e60968ea3523948203F92Nu-GFtV.html?securityId=yne3QjrafJTcZ-G1fv7pXSJJ6FPYFsp3sLW0SVGW_dMIwUMYhexMk3syucL8v1FEe6nlpzMcivmiq3_M3RYFk4LNYOfpbM-Ai4nHFtK50c2TJKQxM9UsCD6kP4WHNAPZ7NilJ_hBtXpR&ka=search-list-1yGQl9q2wIO.search.187
187,职位详情,全栈工程师,火线传递,杭州,500-260000元/月,经验不限,学历不限,https://www.zhipin.com/job_detail/430637ad3000f70503R80ti1FlRW.html?securityId=3siJqCS2QAavd-i1tFComl1PEe4-ebGLRykrHiO9tWOeH8v4Y6NdBAKuJ6tRg_3Zqqh9iDVZ3nbawGRVhfktdwD6OnQy0i8jApSPSn-D0RgGP4Jl7sRMIcQr6R_FyCPtEZPUzPFHpZw~&ka=search-list-1yGQl9q2wIO.search.188
188,职位详情,高级全栈工程师,医群健康,杭州,15-16K,1-3年,本科,https://www.zhipin.com/job_detail/3b8a680a5a4e534f03B70tW_FlpR.html?securityId=ubRdMVMFq8KD4-z1nWt1Jo6y1cQe082JFmJGIcjpG8icGWEGT753r9vWakP7jCWu3sC-ipTTsFACMCBJvYZJu0LSh1Oh2n5xnrHcx751arq8hUxk4L3dnjz8QeVgMElAmtLmx7a6EsI9&ka=search-list-1yGQl9q2wIO.search.189
189,职位详情,全栈实习生,中控技术,杭州,150-170元/天,nan,本科,https://www.zhipin.com/job_detail/d290a1fd6993421703dy2N-7GVZY.html?securityId=ncSRDiCAkRfqr-q1XBtwypy6ENkl0NAIXhyOudfs4dQSEXDYb3aCvygRAlvIBeZ3g4rOK4f1GxxZGp8JBmKEIHlv96ga69xAqLI7-z2m6wfV8ijDn57PQeM2VpjnkMuBenZupNxnAHg~&ka=search-list-1yGQl9q2wIO.search.190
190,职位详情,全栈工程师,自由人科技,杭州,8-13K·13薪,1-3年,大专,https://www.zhipin.com/job_detail/9ce76264aa7e873e1n1729u1EVRQ.html?securityId=ds1q1HUEDchOQ-31Rb6m2TUSMunFYonKSFCd_i235_4o75yk4kf5kWMh-fl1V1TVfEc3u0snOpdbFl16d2tZkX2xNHSeyNyanqmfnyg1XVEwg_KB_QhZ11eJdND6qUJsw5ORm4nHtQar&ka=search-list-1yGQl9q2wIO.search.191
191,职位详情,全栈工程师,杭州凌柒凌亿,杭州,8-13K,1-3年,本科,https://www.zhipin.com/job_detail/b2d5fa2625bdcfea03Z52Ni_FFBT.html?securityId=P7McXTkooq7iS-P147PK2PXUqx-lonT20seMeXokTe_hxomDX_oqzhtfg_99AZIoMWdxCcMY9g7-eS_gOUH6AO6JlKmHny8jz-uCnSSI3CzV3Wj_cWw5tVawHKLAsBPQhaV4Rt5YbQ~~&ka=search-list-1yGQl9q2wIO.search.192
192,职位详情,棋牌游戏全栈工程师,烨欣,杭州,11-20K,10年以上,本科,https://www.zhipin.com/job_detail/d4aa7c2f6fe84b7203dy0966E1VW.html?securityId=5vWSDbZvm4JRt-W1sjIMwGGaHuv6kaE309JhodnygbB7BsUfDUSXHfaI5wBpg_K1O_f1YXlVpTSs9sMGB0LlX_h3eq0JkRsagzGdsFdAk4EhH3fCiUrFs47uCNC6-ljRVCVqZft6Btk6aw~~&ka=search-list-1yGQl9q2wIO.search.193
193,职位详情,全栈开发工程师,华为,杭州,16-25K·14薪,1-3年,本科,https://www.zhipin.com/job_detail/21652376cd48ef281nJy2d2-FVVR.html?securityId=91X4pdgbGJ7I0-91tXLUUK4V1F6Yi7DHaGoNiQ4sZVtjVX6wTvMOmwYP5kPcWEkK4M6xBs8qWHhB3SJL1X2fzoJu9jh65ytB_xtNuYdid5rUtVms30lcQ7gxxWzcc7wW6Z937w0~&ka=search-list-1yGQl9q2wIO.search.194
194,职位详情,全栈工程师,数与科技,杭州,15-30K,1-3年,本科,https://www.zhipin.com/job_detail/f9013f6e399603fa1XN409q4FlNZ.html?securityId=gqvHoYUQUU2pz-e1ep2wNdrgzODx0D_9ufGUwcQmKGBTac4WdWXBqjfl1BMpKprVRnhoIsUGVSz_b2t5lmc8_9XhBj52UEoUIRqwYr1fMxBnGNRbaoW-MGvelibw34_16cXh2RsywoE~&ka=search-list-1yGQl9q2wIO.search.195
195,职位详情,中级全栈工程师（Go/Vue方向）,杭州泰旸生物,杭州,20-23K·13薪,1-3年,学历不限,https://www.zhipin.com/job_detail/439bbded7f5358ab03J529u4EVtR.html?securityId=TWtc21UYdq7R1-m1Z2M1mAsJdY_M_Nc-KchwFvTnykqd6waQvd8M6Mx3-30gXz2XPz12eLIozQXeO1x1g_CXPZdmqB3LgMKT0qZGXgjXyZmKYacyQcEhLD7XqXpBBrd3l-fh5G6fLZ408A~~&ka=search-list-1yGQl9q2wIO.search.196
196,职位详情,Java全栈工程师（自研知识服务）,大申,杭州,12-20K,3-5年,大专,https://www.zhipin.com/job_detail/7a4e5fc096b9ddd21XZ43t21F1VU.html?securityId=tAwL_D7qhZntK-S1T6dKWA3qrSOpoGoFACrb0JLWJUP-A1ozE1OJ8EuWkzjI5Dk1fCnfPOEHKLPBMnjfAwDydsgOQIbxonjUQ12uz_Qiuyk1UzYDKgXi_6hp39FTZ7VPyjzWbPPCtqqSQQ~~&ka=search-list-1yGQl9q2wIO.search.197
197,职位详情,java开发,中电金信,杭州,13-25K,3-5年,本科,https://www.zhipin.com/job_detail/c0d6339b53ae30301HZ93dW0EVBS.html?securityId=uY3Xgy7l7aB9f-z1YlGeI60MkZAqUe7fRY2_1gFpAiQg-jU_z4jYu7zuMi5Wb0edbzNcdJZD_CYJubzMqDADzacNOvJyG2pdBZoSQHgE0KSvXTAyTIfYl_m08rhiTi9phbD0khCRzhri&ka=search-list-1yGQl9q2wIO.search.198
198,职位详情,全栈工程师,繁世科技,杭州,15-22K,1-3年,本科,https://www.zhipin.com/job_detail/d6effb960b09eb0b1HN-29-1GVFQ.html?securityId=XYwLkIajiJKiG-g1IoPYrf__p6NAB-Rtb6akwbp2dXfcwOZl90a7SBPTPg4KqMVEvl_7XQTTSlkjjMaVtwRGc7tYBHFiZcxO3Wai28DVfMyNs9AZSicSyw8d7OTlPYByHBbNWbPPCR8~&ka=search-list-1yGQl9q2wIO.search.199
199,职位详情,全栈开发工程师,吉时工业,杭州,15-25K,3-5年,本科,https://www.zhipin.com/job_detail/da6b38dad81ac8671nx_3dW9GFtV.html?securityId=KJ4jPDzfM5KRs-f1btIxT0-wZa-bncsvH8-nKsFvvHPoyF28Sxwrsq8iFMVxXUEOtLlZurVG8-gOuYQE_82lNOmcK_0Rj1pTnM7GyAkzB7FUTM5C2AHaQUCehgzMrvZYnz83JmK0BXI~&ka=search-list-1yGQl9q2wIO.search.200
200,职位详情,高级全栈工程师,脉策科技,杭州,20-30K,5-10年,本科,https://www.zhipin.com/job_detail/c7711fa76c924f3c03F-3d2-FVBW.html?securityId=oUZwfFMlIpj05-X1jo27oStTjXQzZSyUxhSTq9wjvSbh_i8Aagt781TQwV_keliSNzwnS078QmAQp9TUIqOUCNrvs9UsUKUGAW0SOogLXTnKwymsQUXVEO_OU4fN5etTyQUtx5PYMDI~&ka=search-list-1yGQl9q2wIO.search.201
201,职位详情,全栈开发工程师（AI，大模型）,某大型人工智能公司,杭州,40-65K,3-5年,本科,https://www.zhipin.com/job_detail/dfd7aeb15b33658203V82924GFNX.html?securityId=LOm2qauz4gNa1-41wgBwa5vThyirQ0RaHpqp8cATOb49jYF98T_5RlUHWt9ZEzzca0wm5y14aVlCTHhp_36uctUOziW73njohfHRfZs9a8UpAgFD8d4TKSCY75qKWu2tvjQdlRKUEjovJQ~~&ka=search-list-1yGQl9q2wIO.search.202
202,职位详情,全栈工程师,凌武科技,杭州,10-13K·14薪,经验不限,学历不限,https://www.zhipin.com/job_detail/376252c72e80b7e91n193ty0F1pV.html?securityId=DRdzdQo27o5cu-g19IivHl1xsuAU8s9DLwYDeKffQL2Yu41P2ZFL1Qg0MjaUdxtwMfYAeqgEI2AqsnQqBrkFqGJb6MduamrDLAt6zo6HONTn67dB9BhzjSYnfgahN9VMldfjXt5oSF3CBA~~&ka=search-list-1yGQl9q2wIO.search.203
203,职位详情,Java全栈,南京迈特望,杭州,15-18K,5-10年,本科,https://www.zhipin.com/job_detail/046472a4bdadca7003J_0960F1JU.html?securityId=U2C4A6SpxR1af-D1k6ZQmUmL4dOrlO0wThVipDl5AF3Z2e0H6UL3fsE37ETdKGwA0ABwSBILhNpeV8eYYohvZgzG62HX3nGxlO-jtTFX3jXQwVErvJcwBfu_fnRhtr-636m_k0Q1flmu4LAQoyFoqGWe5fNHnbTo4TkBBZeYYi5Qyw~~&ka=search-list-1yGQl9q2wIO.search.204
204,职位详情,全栈搜索工程师-搜索方向,博查搜索,杭州,12-15K,3-5年,本科,https://www.zhipin.com/job_detail/b6340445bd4b1e1a03F82dW4FlJV.html?securityId=BptyFGk7-y9uy-g13X14ghDXbmM6sIzCq_jkGSPQHGs-_wedVfVou2nr0-_WHiBY5YQ4_tU38Fsr2v_C9ZOSCXqX0m2qRkeJitSyFzWMoRWuDmj0yImasBoYNGOByEfQ9qXS4AvPNY58Og~~&ka=search-list-1yGQl9q2wIO.search.205
205,职位详情,高级全栈开发工程师,杭州伺安机器人科技,杭州,12-24K,3-5年,本科,https://www.zhipin.com/job_detail/c185a0ae2ad647511Hx929y1EVFQ.html?securityId=x1hZn2_rk4PnK-l1iaQvS3aZ4pBZ7SyAtd1sEQ8kLwmShJNZs8WP9byyjztD5x2nT2S4chSwVu-XcQNhQVk51kElCikThBA9sIOZYZOl4beHPT4PIoElgkA__JjEy751CN8XSbmA-PVN&ka=search-list-1yGQl9q2wIO.search.206
206,职位详情,高级全栈工程师,浙政文化,杭州,8-13K,3-5年,大专,https://www.zhipin.com/job_detail/7a3b121c8eea098f03d53tS7EVFX.html?securityId=Z4gIvGaDbRO2F-m1ZyDBIoy5vTOP1JJ0ciXyHF80vHvMht2q7SSjhnPE-9kSttbLV_qjVyxlmAX6dKmHF9PG_dGqZV7F54VskjM0YYbAh5eFE8Djnf36jQDwqM6L7JChPCSBFyYSseup&ka=search-list-1yGQl9q2wIO.search.207
207,职位详情,"全栈实习生(vue3,java)",开市斧,杭州,150-250元/天,nan,本科,https://www.zhipin.com/job_detail/8e1ddc030b55ed5703F-2t66ElNW.html?securityId=PswNywwW0gV6N-W15NKsQ_7f5hKvKf-cEItWFmqYJfIlURVesbVRGHgqefhTdC0VhrNjpz_qhukrsK0jKBUmpFs2CZt2FFWfrTgChd4nlyJjXmb2wlMV3LA7QjyDxBqJ0hkjecZ0ZMbD&ka=search-list-1yGQl9q2wIO.search.208
208,职位详情,华为云-Node.js全栈开发工程师德科OD,华为云计算,杭州,18-25K·14薪,经验不限,本科,https://www.zhipin.com/job_detail/2c886609c59618671HZ90tS0GVRW.html?securityId=8jvr_wILZBozq-k1qZPubuOWVtxAUUsF0jcESEWBjB_uWzc3L-zOrrK4nWnf-1phTuiHg4oc3V9Am6amqdr5TLd6OZzjaD7Gmn9NPE10kz0Ec25wjXDydeNIRBF1asnDoPzsQ1Ed8v18&ka=search-list-1yGQl9q2wIO.search.209
209,职位详情,全栈开发工程师,某中型人工智能公司,杭州,40-60K·14薪,3-5年,本科,https://www.zhipin.com/job_detail/4e921a7a755138c603J729q4FVRV.html?securityId=hoQhlYI1XucFw-91W8XvXd1gylnX1iWCxVYgVJaBHuo_GJUu7vcfURbng7vLKy-kvNKOiJ3PTqVn_6_HtffGefzZr1w_p-tD5BMLAwKOz6yRjGXImjqbH23V_o0nwvHmsk3p2dhGVnIWLA~~&ka=search-list-1yGQl9q2wIO.search.210
210,职位详情,全栈工程师,小羽科技,杭州,6-10K,3-5年,大专,https://www.zhipin.com/job_detail/80a47379192e409303V-2tS7ElZT.html?securityId=d6vF2SPGSaDAf-313sOUpirdgfd7DTgqf8fwEG1OGUPA4IKI4bsJQ60cPnCNm6i-1KJHpD3VNYtiN6tE-ZKCgg5jtEGyzeUjSTWRdnItKQbjbbBVs_BRzkhqouXHtV2-Y1nDfMSI&ka=search-list-1yGQl9q2wIO.search.211
211,职位详情,高级全栈开发工程师,云医购,杭州,20-30K,5-10年,本科,https://www.zhipin.com/job_detail/0540194965842f1303J_3di7ElRX.html?securityId=qiigR0Y6TQsX5-U1d_n2MUVPR__ueDIH8R7Ple6bS3jW0huKBd7gWPEqOYUshXSnCcN0g58Ybw9GquMQYKql1NRN85DJXp4y-seAw9UKGNDFBYGp2HcwecWQPUelhImXu-6wbF5O5O6k&ka=search-list-1yGQl9q2wIO.search.212
212,职位详情,【硅谷独角兽 支持remote】全栈开发工程师,捷瑞网络技术,杭州,40-60K,5-10年,本科,https://www.zhipin.com/job_detail/af47256a0724a8c003Fz39m6GVdX.html?securityId=d76lyfqdyPP0S-G1C-uc_0N_UH3075xbplb6sZv_12W2BEZAPpktaKw6uYKBTbMOhFUEm8VhVploJuVITuZ8UpYFNlepclWQNI3S1JMj20KCzLtrE3U6oTWTc4zqEM5IcqMxxY3TW5-X&ka=search-list-1yGQl9q2wIO.search.213
